Wall time,Step,Value
1731862185.0734258,4000,-1151.2728271484375
1731862188.610909,8000,-1179.947998046875
1731862192.1698966,12000,-1228.7044677734375
1731862195.6924596,16000,-1225.8133544921875
1731862199.4338782,20000,-1244.7913818359375
1731862203.17947,24000,-1269.5076904296875
1731862206.7884834,28000,-1272.5224609375
1731862210.3783636,32000,-1235.1402587890625
1731862214.07485,36000,-1230.400634765625
1731862217.657353,40000,-1216.154052734375
1731862221.2059808,44000,-1211.4578857421875
1731862224.8798451,48000,-1203.00927734375
1731862228.4657874,52000,-1246.5316162109375
1731862232.1400325,56000,-1253.239013671875
1731862235.6540763,60000,-1262.364013671875
1731862239.1477356,64000,-1256.3719482421875
1731862242.6724336,68000,-1253.72119140625
1731862246.257005,72000,-1240.3934326171875
1731862249.850578,76000,-1241.5220947265625
1731862253.333171,80000,-1223.9481201171875
1731862257.0126529,84000,-1227.4814453125
1731862260.8482327,88000,-1229.5455322265625
1731862264.4589381,92000,-1237.83154296875
1731862268.1871128,96000,-1216.712158203125
1731862271.7456133,100000,-1223.27392578125
1731862275.2783597,104000,-1210.68994140625
1731862279.0016143,108000,-1237.6544189453125
1731862282.7130558,112000,-1200.1697998046875
1731862286.2122593,116000,-1210.6826171875
1731862290.0112038,120000,-1199.68359375
1731862293.5671017,124000,-1195.137939453125
1731862297.0973365,128000,-1155.248046875
1731862300.636594,132000,-1155.6168212890625
1731862304.1907833,136000,-1161.187744140625
1731862307.7033393,140000,-1140.74267578125
1731862311.3095767,144000,-1136.59423828125
1731862314.8133337,148000,-1144.6798095703125
1731862318.8768814,152000,-1136.401123046875
1731862322.5362182,156000,-1108.72021484375
1731862326.1156251,160000,-1118.8759765625
1731862329.7038958,164000,-1115.449462890625
1731862333.3661153,168000,-1106.1710205078125
1731862336.9429545,172000,-1111.0003662109375
1731862340.486816,176000,-1105.080078125
1731862344.1264775,180000,-1105.4649658203125
1731862347.6110363,184000,-1098.50732421875
1731862351.2991142,188000,-1106.6458740234375
1731862354.928337,192000,-1096.43505859375
1731862358.4355786,196000,-1085.9449462890625
1731862361.9660373,200000,-1072.1973876953125
1731862365.5322251,204000,-1043.575927734375
1731862369.0887787,208000,-1000.5348510742188
1731862372.6933458,212000,-969.4783325195312
1731862376.3553324,216000,-950.7378540039062
1731862379.9935625,220000,-922.2560424804688
1731862383.527409,224000,-913.05126953125
1731862387.103859,228000,-890.251220703125
1731862390.5721679,232000,-871.87109375
1731862394.0484393,236000,-847.947021484375
1731862397.58038,240000,-823.3788452148438
1731862401.1393938,244000,-797.1065673828125
1731862404.6304893,248000,-776.1692504882812
1731862408.1653128,252000,-727.04541015625
1731862411.8610773,256000,-693.9581909179688
1731862415.4263427,260000,-641.937744140625
1731862418.9613056,264000,-592.354736328125
1731862422.533416,268000,-540.7423095703125
1731862426.2040205,272000,-512.5158081054688
1731862429.6915092,276000,-471.396240234375
1731862433.2050924,280000,-423.7314453125
1731862436.7446284,284000,-379.1650085449219
1731862440.3840966,288000,-343.2741394042969
1731862443.9215424,292000,-290.4853820800781
1731862447.4914808,296000,-250.93017578125
1731862451.0726457,300000,-240.2649688720703
1731862454.5592327,304000,-220.3505859375
1731862458.0954788,308000,-207.67962646484375
1731862461.6721923,312000,-215.04331970214844
1731862465.1793284,316000,-219.19912719726562
1731862468.8141055,320000,-208.00743103027344
1731862472.5177124,324000,-206.23484802246094
1731862476.1268828,328000,-193.56382751464844
1731862479.638586,332000,-188.6547393798828
1731862483.2309682,336000,-185.51226806640625
1731862486.745225,340000,-180.69064331054688
1731862490.2279954,344000,-179.0240936279297
1731862493.751309,348000,-183.8384246826172
1731862497.278986,352000,-176.47035217285156
1731862500.944724,356000,-165.56039428710938
1731862504.4736264,360000,-163.4330291748047
1731862508.0457816,364000,-163.9766387939453
1731862511.5539641,368000,-164.6755828857422
1731862515.0711248,372000,-170.07627868652344
1731862518.6268277,376000,-167.30703735351562
1731862522.1239772,380000,-161.62513732910156
1731862525.5903177,384000,-163.2901153564453
1731862529.2179039,388000,-153.41787719726562
1731862532.734569,392000,-152.941162109375
1731862536.251457,396000,-152.60398864746094
1731862539.721156,400000,-156.44021606445312
1731862543.2631524,404000,-151.37205505371094
1731862546.8127947,408000,-151.465087890625
1731862550.2799852,412000,-145.52886962890625
1731862553.8015034,416000,-147.00482177734375
1731862557.3257477,420000,-151.8924102783203
1731862561.012109,424000,-152.54457092285156
1731862564.5352862,428000,-158.71990966796875
1731862568.1042202,432000,-161.1766357421875
1731862571.5932684,436000,-165.95352172851562
1731862575.0771196,440000,-170.1050567626953
1731862578.5732405,444000,-169.774658203125
1731862582.0937839,448000,-176.44796752929688
1731862585.579303,452000,-171.1881103515625
1731862589.2205427,456000,-175.45883178710938
1731862592.7950811,460000,-171.84385681152344
1731862596.3697548,464000,-158.44427490234375
1731862599.8485854,468000,-152.53604125976562
1731862603.3325498,472000,-153.8267364501953
1731862606.8976073,476000,-151.86135864257812
1731862610.3749964,480000,-153.24769592285156
1731862613.8808134,484000,-160.99667358398438
1731862617.4501112,488000,-151.62936401367188
1731862621.1550992,492000,-156.6111297607422
1731862624.6576371,496000,-146.58795166015625
1731862628.3341968,500000,-143.5894012451172
