Wall time,Step,Value
1731863083.56589,4000,-1207.401611328125
1731863087.0897632,8000,-1236.6917724609375
1731863090.6444566,12000,-1241.3974609375
1731863094.1238964,16000,-1240.5728759765625
1731863097.6544313,20000,-1254.8411865234375
1731863101.431914,24000,-1268.0194091796875
1731863104.9779263,28000,-1253.2158203125
1731863108.587244,32000,-1228.302490234375
1731863112.0998678,36000,-1236.022705078125
1731863115.6546009,40000,-1223.7003173828125
1731863119.1279972,44000,-1202.3023681640625
1731863122.6690183,48000,-1214.23193359375
1731863126.2075012,52000,-1242.4976806640625
1731863129.8717508,56000,-1232.4366455078125
1731863133.3721673,60000,-1229.0670166015625
1731863136.9212377,64000,-1218.25634765625
1731863140.4005172,68000,-1194.369140625
1731863143.9002414,72000,-1168.71044921875
1731863147.490451,76000,-1177.03271484375
1731863151.0825067,80000,-1176.893310546875
1731863154.5660124,84000,-1187.956298828125
1731863158.1565127,88000,-1206.95849609375
1731863162.0351093,92000,-1214.4332275390625
1731863165.715713,96000,-1208.1602783203125
1731863169.284704,100000,-1202.1002197265625
1731863172.7899983,104000,-1222.47998046875
1731863176.2972848,108000,-1220.9403076171875
1731863179.8040318,112000,-1204.269287109375
1731863183.3865166,116000,-1205.67529296875
1731863186.9084325,120000,-1204.67578125
1731863190.5912478,124000,-1195.40576171875
1731863194.2709777,128000,-1185.791748046875
1731863197.920217,132000,-1216.8153076171875
1731863201.5951653,136000,-1208.8038330078125
1731863205.2692854,140000,-1203.9586181640625
1731863208.775979,144000,-1178.9544677734375
1731863212.280819,148000,-1165.429931640625
1731863215.8202212,152000,-1168.4329833984375
1731863219.5644753,156000,-1153.5093994140625
1731863223.5037796,160000,-1142.717041015625
1731863227.6156135,164000,-1131.5692138671875
1731863231.7702107,168000,-1136.1302490234375
1731863235.4079278,172000,-1090.285888671875
1731863239.0706556,176000,-1082.593994140625
1731863242.7213676,180000,-1075.4661865234375
1731863246.3249302,184000,-1076.122802734375
1731863250.091434,188000,-1049.7679443359375
1731863253.7136312,192000,-1047.745849609375
1731863257.5081618,196000,-1031.7314453125
1731863261.1216934,200000,-1020.7620239257812
1731863264.7604423,204000,-995.2806396484375
1731863268.3443425,208000,-985.35400390625
1731863272.019805,212000,-950.9741821289062
1731863275.7324247,216000,-943.6233520507812
1731863279.542566,220000,-904.626953125
1731863283.2383776,224000,-894.1360473632812
1731863286.9355726,228000,-875.4146728515625
1731863290.5731034,232000,-848.9822387695312
1731863294.1883347,236000,-804.9666137695312
1731863297.8893747,240000,-783.2750854492188
1731863301.5279922,244000,-750.9470825195312
1731863305.1890478,248000,-722.59619140625
1731863308.8318934,252000,-718.4860229492188
1731863312.4397347,256000,-691.3696899414062
1731863315.9609141,260000,-648.424072265625
1731863319.5237503,264000,-610.405517578125
1731863323.0428734,268000,-558.8744506835938
1731863326.532951,272000,-482.1596984863281
1731863330.1049533,276000,-414.423583984375
1731863333.6248765,280000,-375.2064208984375
1731863337.119906,284000,-332.8661804199219
1731863340.833982,288000,-299.2896728515625
1731863344.3571684,292000,-276.4634094238281
1731863347.8551977,296000,-270.97308349609375
1731863351.3980029,300000,-242.06483459472656
1731863354.9915943,304000,-229.5402069091797
1731863358.5127394,308000,-213.12464904785156
1731863362.0064805,312000,-219.22702026367188
1731863365.5780141,316000,-216.25123596191406
1731863369.3081367,320000,-227.7595977783203
1731863372.8027425,324000,-230.9443359375
1731863376.3478825,328000,-234.2768096923828
1731863379.8383453,332000,-236.47201538085938
1731863383.3053086,336000,-235.3765869140625
1731863386.8091025,340000,-231.73638916015625
1731863390.3314874,344000,-216.99835205078125
1731863393.9497185,348000,-223.0406494140625
1731863397.5808415,352000,-209.03257751464844
1731863401.3473063,356000,-199.72911071777344
1731863404.8319652,360000,-191.30429077148438
1731863408.3129835,364000,-189.2176971435547
1731863411.8294318,368000,-170.50082397460938
1731863415.3338826,372000,-177.8130645751953
1731863418.8654413,376000,-182.5771942138672
1731863422.373263,380000,-179.95843505859375
1731863425.8979144,384000,-172.3948974609375
1731863429.528775,388000,-167.6400146484375
1731863433.041664,392000,-159.14932250976562
1731863436.7222862,396000,-160.2716064453125
1731863440.2254515,400000,-156.0191650390625
1731863443.7407894,404000,-161.3845977783203
1731863447.3017018,408000,-166.79583740234375
1731863450.7874098,412000,-171.29534912109375
1731863454.2884974,416000,-166.6243438720703
1731863457.802539,420000,-166.51905822753906
1731863461.5966494,424000,-166.0366973876953
1731863465.1029744,428000,-161.326416015625
1731863468.6217008,432000,-150.5460968017578
1731863472.2076602,436000,-143.7809295654297
1731863475.6953745,440000,-150.92709350585938
1731863479.2033145,444000,-146.90023803710938
1731863482.8837008,448000,-151.78729248046875
1731863486.541424,452000,-163.2931671142578
1731863490.3930972,456000,-162.37510681152344
1731863494.0697055,460000,-155.8514404296875
1731863497.624551,464000,-167.59954833984375
1731863501.1074584,468000,-169.08749389648438
1731863504.649898,472000,-162.18321228027344
1731863508.1651418,476000,-176.7272186279297
1731863511.676231,480000,-178.15834045410156
1731863515.357892,484000,-167.9425048828125
1731863519.2147295,488000,-168.30401611328125
1731863522.7585447,492000,-178.94032287597656
1731863526.3590884,496000,-167.17510986328125
1731863530.0595229,500000,-175.26756286621094
