Wall time,Step,Value
1731864890.0242722,4000,-1205.968994140625
1731864893.559944,8000,-1165.1676025390625
1731864897.0963802,12000,-1186.6190185546875
1731864900.8956687,16000,-1214.9844970703125
1731864904.4035676,20000,-1231.092041015625
1731864907.9533377,24000,-1242.9168701171875
1731864911.602707,28000,-1272.2161865234375
1731864915.159244,32000,-1258.4256591796875
1731864918.728035,36000,-1225.1329345703125
1731864922.3959854,40000,-1207.0037841796875
1731864926.0062406,44000,-1192.0955810546875
1731864929.7960835,48000,-1187.33203125
1731864933.5166805,52000,-1177.6375732421875
1731864937.132021,56000,-1178.26123046875
1731864940.6906254,60000,-1171.5531005859375
1731864944.308862,64000,-1166.6298828125
1731864947.8670835,68000,-1154.6561279296875
1731864951.3692014,72000,-1171.8740234375
1731864954.9214623,76000,-1175.5418701171875
1731864958.454647,80000,-1198.5382080078125
1731864962.4108922,84000,-1195.8731689453125
1731864966.1379201,88000,-1174.047119140625
1731864969.744585,92000,-1194.2298583984375
1731864973.3822305,96000,-1206.217041015625
1731864977.0067036,100000,-1173.20166015625
1731864980.516126,104000,-1204.176025390625
1731864984.0769138,108000,-1235.765380859375
1731864987.6955912,112000,-1223.0074462890625
1731864991.4354415,116000,-1214.34765625
1731864994.9563396,120000,-1223.2791748046875
1731864998.565865,124000,-1199.128173828125
1731865002.0923684,128000,-1214.0875244140625
1731865005.5599174,132000,-1193.7196044921875
1731865009.1341276,136000,-1223.5025634765625
1731865012.6432335,140000,-1242.7708740234375
1731865016.1711211,144000,-1262.9378662109375
1731865019.9358907,148000,-1208.374755859375
1731865023.5552208,152000,-1197.80126953125
1731865027.1226022,156000,-1162.0233154296875
1731865030.6812935,160000,-1137.0921630859375
1731865034.2429082,164000,-1085.0667724609375
1731865037.7530842,168000,-1104.31884765625
1731865041.2349029,172000,-1114.989501953125
1731865044.7940874,176000,-1111.4832763671875
1731865048.3535912,180000,-1113.3670654296875
1731865052.1274927,184000,-1132.9569091796875
1731865055.6349154,188000,-1121.3858642578125
1731865059.2006023,192000,-1111.732177734375
1731865062.7580388,196000,-1092.6077880859375
1731865066.269072,200000,-1061.8487548828125
1731865069.8239229,204000,-1037.22216796875
1731865073.361456,208000,-1026.1475830078125
1731865076.8662915,212000,-1014.6072387695312
1731865080.5592713,216000,-1006.95263671875
1731865084.1471734,220000,-981.3462524414062
1731865087.7181785,224000,-951.201416015625
1731865091.2218506,228000,-921.1632690429688
1731865094.675863,232000,-877.0054321289062
1731865098.2389045,236000,-851.2055053710938
1731865101.734733,240000,-858.3938598632812
1731865105.2334757,244000,-831.9684448242188
1731865108.7586687,248000,-800.7715454101562
1731865112.6449986,252000,-792.7520751953125
1731865116.3170204,256000,-772.3641967773438
1731865119.807295,260000,-704.2686767578125
1731865123.4082026,264000,-694.64013671875
1731865126.9178765,268000,-670.1981811523438
1731865130.4047709,272000,-620.388427734375
1731865134.048438,276000,-562.7142944335938
1731865137.6027265,280000,-526.541015625
1731865141.371118,284000,-463.57525634765625
1731865145.0161743,288000,-414.5981750488281
1731865148.5914028,292000,-381.3598327636719
1731865152.122706,296000,-322.851806640625
1731865155.6812794,300000,-300.9771728515625
1731865159.1840646,304000,-288.7249755859375
1731865162.7181063,308000,-259.2982177734375
1731865166.3062975,312000,-224.89476013183594
1731865169.9999921,316000,-237.47227478027344
1731865173.5741565,320000,-237.1598663330078
1731865177.1913214,324000,-216.5398406982422
1731865180.848113,328000,-206.22364807128906
1731865184.4649565,332000,-215.50973510742188
1731865188.073047,336000,-216.61080932617188
1731865191.6005359,340000,-200.52223205566406
1731865195.097281,344000,-198.01535034179688
1731865198.6779811,348000,-209.53466796875
1731865202.4093118,352000,-204.37840270996094
1731865205.9290621,356000,-184.7345733642578
1731865209.5412364,360000,-174.8501739501953
1731865213.111036,364000,-174.11456298828125
1731865216.606293,368000,-165.5963134765625
1731865220.1566284,372000,-161.3655548095703
1731865223.6750126,376000,-165.48971557617188
1731865227.1732087,380000,-172.28668212890625
1731865230.8737683,384000,-168.98707580566406
1731865234.3930686,388000,-180.1897430419922
1731865237.8859372,392000,-175.40843200683594
1731865241.3812137,396000,-171.44444274902344
1731865244.876232,400000,-172.7740020751953
1731865248.3866389,404000,-177.4001922607422
1731865251.8891008,408000,-163.1341552734375
1731865255.475,412000,-172.80177307128906
1731865259.0818799,416000,-171.05670166015625
1731865262.8838873,420000,-167.79537963867188
1731865266.5458624,424000,-153.74044799804688
1731865270.1040473,428000,-157.64999389648438
1731865273.7153525,432000,-153.73277282714844
1731865277.3647454,436000,-160.24818420410156
1731865280.943608,440000,-156.2366485595703
1731865284.561996,444000,-162.1588897705078
1731865288.2390952,448000,-153.16543579101562
1731865291.9836051,452000,-146.17037963867188
1731865295.5740952,456000,-150.47708129882812
1731865299.2506366,460000,-152.64370727539062
1731865302.868261,464000,-157.01132202148438
1731865306.457808,468000,-168.52488708496094
1731865310.0857742,472000,-174.19012451171875
1731865313.6772268,476000,-167.80789184570312
1731865317.2945988,480000,-170.87879943847656
1731865321.1440473,484000,-161.57156372070312
1731865324.6612477,488000,-157.9949951171875
1731865328.227956,492000,-160.68064880371094
1731865331.8012812,496000,-157.64157104492188
1731865335.2909245,500000,-148.1781768798828
