Wall time,Step,Value
1732048566.8963616,4000,-1207.401611328125
1732048571.729747,8000,-1236.6917724609375
1732048576.615284,12000,-1241.3974609375
1732048581.417849,16000,-1240.5728759765625
1732048586.328996,20000,-1254.8411865234375
1732048591.807132,24000,-1273.5140380859375
1732048597.5111082,28000,-1253.670654296875
1732048603.0434082,32000,-1233.6295166015625
1732048608.679794,36000,-1247.5396728515625
1732048614.3240726,40000,-1233.4217529296875
1732048619.9061425,44000,-1196.422607421875
1732048625.7718303,48000,-1215.0234375
1732048631.3687165,52000,-1242.4859619140625
1732048636.8920722,56000,-1231.5679931640625
1732048642.3545382,60000,-1213.587646484375
1732048647.838045,64000,-1218.835693359375
1732048653.1940107,68000,-1186.9315185546875
1732048658.8605094,72000,-1157.7716064453125
1732048664.2456803,76000,-1146.3013916015625
1732048669.6643858,80000,-1153.773193359375
1732048674.9992652,84000,-1148.945068359375
1732048680.4135613,88000,-1156.5118408203125
1732048685.9548824,92000,-1154.7113037109375
1732048691.298201,96000,-1148.419677734375
1732048696.5799742,100000,-1134.429931640625
1732048702.0318882,104000,-1148.8265380859375
1732048707.6032295,108000,-1162.3753662109375
1732048713.153206,112000,-1148.7830810546875
1732048718.8086421,116000,-1152.4639892578125
1732048724.346016,120000,-1160.0235595703125
1732048729.8474154,124000,-1157.0047607421875
1732048735.4167504,128000,-1140.9866943359375
1732048740.9066806,132000,-1161.6700439453125
1732048746.728264,136000,-1157.75537109375
1732048752.1951244,140000,-1142.017822265625
1732048757.7149494,144000,-1128.4429931640625
1732048763.1434157,148000,-1124.3853759765625
1732048768.6447272,152000,-1137.595703125
1732048774.1686711,156000,-1122.8399658203125
1732048780.023818,160000,-1136.585693359375
1732048785.4501028,164000,-1126.0516357421875
1732048790.8225217,168000,-1125.2437744140625
1732048796.3162317,172000,-1085.3934326171875
1732048801.86615,176000,-1080.0323486328125
1732048807.3800082,180000,-1063.4556884765625
1732048812.657294,184000,-1056.970703125
1732048817.8030806,188000,-1019.5914916992188
1732048822.8450851,192000,-1019.3082885742188
1732048828.0546534,196000,-1003.6226806640625
1732048833.2792752,200000,-988.6646118164062
1732048838.6422021,204000,-958.571044921875
1732048843.8064473,208000,-955.7108764648438
1732048848.9521859,212000,-912.2914428710938
1732048854.1279967,216000,-902.3588256835938
1732048859.177793,220000,-866.4775390625
1732048864.379016,224000,-856.4457397460938
1732048869.5295722,228000,-828.9165649414062
1732048874.422473,232000,-807.4343872070312
1732048879.3195627,236000,-764.0914306640625
1732048884.1711998,240000,-725.6586303710938
1732048889.013207,244000,-687.3377075195312
1732048893.9107878,248000,-661.063720703125
1732048899.018017,252000,-625.8976440429688
1732048903.9292734,256000,-581.7369384765625
1732048908.762772,260000,-534.1642456054688
1732048913.6074038,264000,-481.4476623535156
1732048918.4211767,268000,-422.78118896484375
1732048923.2621317,272000,-360.77264404296875
1732048928.3747659,276000,-303.7400207519531
1732048933.2821133,280000,-285.6675109863281
1732048938.1122718,284000,-267.8623352050781
1732048942.953356,288000,-254.7978057861328
1732048947.7885134,292000,-247.79266357421875
1732048952.6797085,296000,-256.92120361328125
1732048957.8111472,300000,-228.62588500976562
1732048962.6434133,304000,-216.8889923095703
1732048967.5146062,308000,-199.84153747558594
1732048972.367356,312000,-201.8139190673828
1732048977.1901908,316000,-192.79002380371094
1732048982.0352275,320000,-198.99354553222656
1732048987.1450813,324000,-200.1573486328125
1732048991.9963012,328000,-201.83863830566406
1732048996.8762136,332000,-203.9578399658203
1732049001.7166066,336000,-203.0995330810547
1732049006.5555596,340000,-206.23553466796875
1732049011.3743353,344000,-192.97930908203125
1732049016.4646966,348000,-201.643310546875
1732049021.4932976,352000,-195.3864288330078
1732049026.5243251,356000,-191.1210174560547
1732049031.4520009,360000,-183.97927856445312
1732049036.4017024,364000,-184.31871032714844
1732049041.2486477,368000,-165.04383850097656
1732049046.3657277,372000,-167.20115661621094
1732049051.278448,376000,-161.6975860595703
1732049056.1964357,380000,-162.06207275390625
1732049061.178064,384000,-156.0426025390625
1732049066.096458,388000,-153.7715606689453
1732049071.027904,392000,-148.6546173095703
1732049076.1281154,396000,-157.1038818359375
1732049081.0105627,400000,-152.70826721191406
1732049086.017884,404000,-157.98208618164062
1732049090.8999183,408000,-164.37265014648438
1732049095.765978,412000,-168.1969757080078
1732049100.628786,416000,-165.08802795410156
1732049105.7376792,420000,-162.57028198242188
1732049111.0302274,424000,-162.9086456298828
1732049116.3374507,428000,-157.30032348632812
1732049121.5984995,432000,-148.23451232910156
1732049126.8021505,436000,-146.6062469482422
1732049132.066405,440000,-153.72048950195312
1732049137.5169702,444000,-151.24951171875
1732049142.7571173,448000,-153.6246337890625
1732049147.9210753,452000,-163.37783813476562
1732049152.851049,456000,-155.31304931640625
1732049157.9992385,460000,-151.49481201171875
1732049162.9563253,464000,-151.22119140625
1732049168.0427005,468000,-155.45974731445312
1732049172.9740798,472000,-149.01678466796875
1732049177.907628,476000,-163.66322326660156
1732049182.7970333,480000,-165.13058471679688
1732049188.1702523,484000,-163.517578125
1732049193.5370333,488000,-166.20677185058594
1732049199.1521628,492000,-173.20339965820312
1732049204.4742804,496000,-165.7460174560547
1732049209.7835882,500000,-173.87747192382812
