Wall time,Step,Value
1732052218.3933814,4000,-1264.1751708984375
1732052225.119288,8000,-1184.952392578125
1732052232.1512527,12000,-1169.61669921875
1732052239.206032,16000,-1155.3624267578125
1732052245.994907,20000,-1156.54931640625
1732052253.7063322,24000,-1140.8790283203125
1732052261.5625675,28000,-1159.0562744140625
1732052269.2470164,32000,-1151.035400390625
1732052276.9684074,36000,-1163.0469970703125
1732052284.6931899,40000,-1170.549560546875
1732052292.8261752,44000,-1152.587890625
1732052300.829611,48000,-1150.380859375
1732052308.7402756,52000,-1175.3946533203125
1732052316.6884527,56000,-1183.715087890625
1732052324.4004426,60000,-1188.0467529296875
1732052332.229557,64000,-1202.3853759765625
1732052339.9328418,68000,-1199.10302734375
1732052347.9378426,72000,-1184.2020263671875
1732052355.6872907,76000,-1160.0865478515625
1732052363.4241955,80000,-1136.80126953125
1732052371.1623821,84000,-1161.1475830078125
1732052378.978328,88000,-1147.399169921875
1732052386.6007671,92000,-1154.0030517578125
1732052394.4731054,96000,-1173.031494140625
1732052402.4251952,100000,-1182.64453125
1732052410.5241873,104000,-1151.2890625
1732052418.4695323,108000,-1163.8565673828125
1732052426.1615744,112000,-1150.2987060546875
1732052434.0450253,116000,-1148.1165771484375
1732052441.8224545,120000,-1152.053955078125
1732052449.5093267,124000,-1175.3619384765625
1732052457.1488504,128000,-1172.3045654296875
1732052465.1579635,132000,-1170.549560546875
1732052472.9941854,136000,-1165.5064697265625
1732052480.8331609,140000,-1160.8114013671875
1732052488.8366878,144000,-1130.1480712890625
1732052496.9123106,148000,-1130.877685546875
1732052504.9156528,152000,-1112.173828125
1732052512.5554876,156000,-1098.26220703125
1732052520.3603427,160000,-1090.8702392578125
1732052528.0901647,164000,-1086.8675537109375
1732052535.7889636,168000,-1085.07666015625
1732052543.4585323,172000,-1091.4385986328125
1732052551.105721,176000,-1083.504638671875
1732052558.906012,180000,-1070.3358154296875
1732052566.5911624,184000,-1077.9820556640625
1732052574.2790074,188000,-1068.914306640625
1732052582.2255337,192000,-1067.909423828125
1732052589.9040039,196000,-1068.907470703125
1732052597.6014276,200000,-1054.431884765625
1732052605.0633612,204000,-1032.70458984375
1732052612.2089322,208000,-1004.0870361328125
1732052619.91799,212000,-986.0035400390625
1732052627.252348,216000,-959.3665771484375
1732052634.3809838,220000,-945.20068359375
1732052641.8644347,224000,-927.674072265625
1732052649.333449,228000,-916.8479614257812
1732052656.368145,232000,-904.9580688476562
1732052663.4307156,236000,-889.7642822265625
1732052670.4283876,240000,-876.3665771484375
1732052677.7812018,244000,-844.521240234375
1732052684.9004703,248000,-800.5730590820312
1732052692.1431112,252000,-760.5752563476562
1732052699.2597067,256000,-733.45166015625
1732052706.3176546,260000,-682.8743896484375
1732052713.2504456,264000,-650.1347045898438
1732052720.1824718,268000,-619.2909545898438
1732052727.446796,272000,-580.8919067382812
1732052734.6965537,276000,-528.5007934570312
1732052742.0201533,280000,-476.8733825683594
1732052749.2480516,284000,-437.8355712890625
1732052756.4486709,288000,-390.19256591796875
1732052763.6655948,292000,-345.08056640625
1732052770.9888694,296000,-314.2066345214844
1732052778.2231376,300000,-302.1968994140625
1732052785.18955,304000,-264.2288818359375
1732052792.282539,308000,-251.18199157714844
1732052799.4819067,312000,-239.90611267089844
1732052806.5697649,316000,-229.0167999267578
1732052813.4812443,320000,-210.00570678710938
1732052820.399332,324000,-206.0743865966797
1732052827.406303,328000,-194.11990356445312
1732052834.6310773,332000,-191.86972045898438
1732052841.5759323,336000,-185.64581298828125
1732052848.804787,340000,-182.50555419921875
1732052855.9964583,344000,-184.09912109375
1732052862.9994347,348000,-179.21286010742188
1732052870.0141773,352000,-164.78018188476562
1732052877.0443275,356000,-159.75961303710938
1732052884.1342463,360000,-182.73350524902344
1732052891.2925665,364000,-185.7269744873047
1732052898.606797,368000,-192.77108764648438
1732052905.9148445,372000,-205.3390655517578
1732052912.9139931,376000,-200.111328125
1732052920.029231,380000,-178.54931640625
1732052927.0836043,384000,-170.985107421875
1732052934.0758352,388000,-167.54054260253906
1732052941.0136566,392000,-157.12554931640625
1732052948.0844457,396000,-177.127685546875
1732052955.0655906,400000,-184.68617248535156
1732052962.0651317,404000,-194.9490203857422
1732052969.0805376,408000,-202.72967529296875
1732052976.4689374,412000,-207.81651306152344
1732052983.808411,416000,-201.64088439941406
1732052990.8412795,420000,-204.11595153808594
1732052997.813093,424000,-185.1669921875
1732053005.4017742,428000,-180.74423217773438
1732053013.3573394,432000,-188.13458251953125
1732053020.8640375,436000,-175.00942993164062
1732053028.3299658,440000,-157.62384033203125
1732053035.5244687,444000,-161.0633087158203
1732053042.6835794,448000,-159.270263671875
1732053050.0434222,452000,-143.81753540039062
1732053057.4301245,456000,-145.9257354736328
1732053065.230662,460000,-150.5356903076172
1732053072.8643687,464000,-149.25289916992188
1732053080.4049985,468000,-141.51210021972656
1732053087.5462377,472000,-153.16616821289062
1732053094.719255,476000,-156.24630737304688
1732053101.8838992,480000,-156.03846740722656
1732053108.952807,484000,-153.73048400878906
1732053116.0299315,488000,-155.9394989013672
1732053123.3494112,492000,-154.57797241210938
1732053130.7663136,496000,-155.57781982421875
1732053137.8368506,500000,-159.03819274902344
